Название фильма;Страна;Год  выхода;Сколько лет фильму на данный момент;Режиссер;Сценарист;Первые три актера из списка актеров;Приключения- боевик / Приключения- не боевик;Всего с начала выхода фильма: Кол. просмотров  фильма;Всего с начала выхода фильма: Кол. Комментариев;Всего с начала выхода фильма: Кол. Лайков;Среднее количество: просмотров в год на данной платформе;Среднее количество: комментариев в год;Динамика комментариев  год/количество;Динамика комментариев  год/количество
Выживший / Ngesot;WEB-DLRip;2024;1;Айез Шаукат Фонсека Фарид;[];Зул Хузайми, Шарифа Сакина, Лукман Хафидз;не боевик;8;0;0;8;0;____;0
Побег / Utek;Чехия;2025;1;Дэвид Ланка;[];Якуб Бартак, Кристина Коцианова, Сара Корбелова;не боевик;2;0;0;2;0;____;0
Звездные войны: Эпизод III - Месть ситхов / Star Wars: Episode III - Revenge of the Sith;США;2005;20;Джордж Лукас;[];Юэн МакГрегор, Натали Портман, Хейден Кристенсен;Боевик;15058;11;119;752;0;2014;1
Звездные войны: Эпизод III - Месть ситхов / Star Wars: Episode III - Revenge of the Sith;США;2005;20;Джордж Лукас;[];Юэн МакГрегор, Натали Портман, Хейден Кристенсен;Боевик;15058;11;119;752;0;2015;4
Звездные войны: Эпизод III - Месть ситхов / Star Wars: Episode III - Revenge of the Sith;США;2005;20;Джордж Лукас;[];Юэн МакГрегор, Натали Портман, Хейден Кристенсен;Боевик;15058;11;119;752;0;2016;1
Звездные войны: Эпизод III - Месть ситхов / Star Wars: Episode III - Revenge of the Sith;США;2005;20;Джордж Лукас;[];Юэн МакГрегор, Натали Портман, Хейден Кристенсен;Боевик;15058;11;119;752;0;2021;1
Звездные войны: Эпизод III - Месть ситхов / Star Wars: Episode III - Revenge of the Sith;США;2005;20;Джордж Лукас;[];Юэн МакГрегор, Натали Портман, Хейден Кристенсен;Боевик;15058;11;119;752;0;2023;2
Звездные войны: Эпизод III - Месть ситхов / Star Wars: Episode III - Revenge of the Sith;США;2005;20;Джордж Лукас;[];Юэн МакГрегор, Натали Портман, Хейден Кристенсен;Боевик;15058;11;119;752;0;2025;1
Тайная доставка / Secret Delivery;США;2024;1;Ян Себехлебский;[];Карел Добрый, Якоб Эрфтемайер, Даниэль Фишер;не боевик;5;0;0;5;0;____;0
Мир Юрского периода: Возрождение / Jurassic World: Rebirth;США;2025;1;Гарет Эдвардс;[];Скарлетт Йоханссон, Джонатан Бейли, Руперт Френд;Боевик;1334;21;9;1334;21;2025;10
Дора и поиски Соль Дорадо / Dora and the Search for Sol Dorado;США;2025;1;Альберто Белли;[];Саманта Лоррейн, Джейкоб Родригес, Акстон Лука Порто;Боевик;19;0;0;19;0;____;0
Я ненавижу лето / Odio el verano;США;2024;1;Фернандо Гарсиа-Руис Рубио;[];Роберто Аламо, Малена Альтерио, Скарлетт Арсе;не боевик;29;0;1;29;0;____;0
Затерянная жемчужина / Stranded Pearl;Новая Зеландия;2024;1;Кен Кхан;[];Кристи Райт, Аунанда Наайдо, Роберт Рейтано;Боевик;35;0;0;35;0;____;0
Лесная легенда / Legend of the Forest;США;2025;1;Райан Эрландсен;[];Райан ДеРоше, Дэвид Фрэнк, Дилан Хорттор;не боевик;11;0;0;11;0;____;0
Джунгли Юрского периода / Jungle Beat 2: The Past;Маврикий;2025;1;Сэм Уилсон;[];Дэвид Ринтул, Люси Монтгомери, Сандра Дикинсон;не боевик;48;1;1;48;1;2025;1
